曲名,難易度,STDORDX,スコア
デンパラダイム,MAS,DX,990150
Strobe♡Girl,MAS,DX,989736
六兆年と一夜物語,MAS,DX,933002
インビジブル,MAS,STD,972169
Catch the Wave,MAS,DX,1002794
Hand in Hand,MAS,STD,966304
Tell Your World,MAS,STD,1002381
サヨナラチェーンソー,MAS,DX,1006789
ルカルカ★ナイトフィーバー,MAS,STD,963469
深海少女,MAS,DX,1000919
深海少女,MAS,STD,1000776
Sweetiex2,MAS,STD,991741
天ノ弱,MAS,STD,986798
右肩の蝶,MAS,STD,986378
金の聖夜霜雪に朽ちて,MAS,STD,993549
ブリキノダンス,MAS,STD,983599
おねがいダーリン,MAS,STD,983999
フリィダム ロリィタ,MAS,STD,992296
幸せになれる隠しコマンドがあるらしい,MAS,STD,986070
しねばいいのに,MAS,STD,975470
白い雪のプリンセスは,MAS,STD,983773
ロストワンの号哭,MAS,STD,990909
ゆっくりしていってね！！！,MAS,STD,969273
踊れオーケストラ,MAS,STD,980928
イノコリ先生,MAS,STD,975838
ECHO,MAS,STD,975590
みくみくにしてあげる♪【してやんよ】,MAS,STD,947166
Nyan Cat EX,MAS,STD,953407
どういうことなの！？,MAS,STD,986746
どうしてこうなった,MAS,STD,985323
ダブルラリアット,MAS,STD,987656
教えて!! 魔法のLyric,MAS,STD,999479
BAD∞END∞NIGHT,MAS,STD,981390
ロミオとシンデレラ,MAS,STD,996773
Link,MAS,STD,981153
ないせんのうた,MAS,STD,980323
"Help me, ERINNNNNN!!",MAS,DX,991002
超最終鬼畜妹フランドール・S,MAS,DX,970300
Idoratrize World,MAS,DX,992429
Ultimate taste,MAS,DX,987992
Bad Apple!! feat.nomico (Tetsuya Komuro Remix),MAS,DX,980453
Re:Unknown X,MAS,DX,909787
LOSTPHANTASIA,MAS,DX,1004154
明星ロケット,MAS,STD,977636
緋色のDance,MAS,STD,978119
無間嫉妬劇場『666』,MAS,DX,993892
三妖精SAY YA!!!,MAS,DX,991175
ゆけむり魂温泉 II,MAS,DX,1006220
天狗の落とし文 feat. ｙｔｒ,MAS,DX,983666
天狗の落とし文 feat. ｙｔｒ,MAS,STD,974154
人間が大好きなこわれた妖怪の唄,MAS,DX,1005792
インターネットサバイバー,MAS,DX,1001251
リスペク風神,MAS,DX,1002586
イヤホンロマンス,MAS,DX,993599
マツヨイナイトバグ,MAS,DX,981680
ナイト・オブ・ナイツ,MAS,DX,991109
疾走あんさんぶる,MAS,STD,970046
サドマミホリック,MAS,STD,1004188
最終鬼畜妹フランドール・S,MAS,STD,996743
"Help me, ERINNNNNN!!（Band ver.）",MAS,STD,957556
最速最高シャッターガール,MAS,STD,958972
ウサテイ,MAS,STD,966577
スカーレット警察のゲットーパトロール24時,MAS,DX,1005270
チルノのパーフェクトさんすう教室　⑨周年バージョン,MAS,STD,988342
チルノのパーフェクトさんすう教室,MAS,STD,967394
魔理沙は大変なものを盗んでいきました,MAS,STD,1002137
患部で止まってすぐ溶ける～狂気の優曇華院,MAS,DX,1002955
患部で止まってすぐ溶ける～狂気の優曇華院,MAS,STD,984506
【東方ニコカラ】秘神マターラ feat.魂音泉【IOSYS】,MAS,STD,970234
泡沫、哀のまほろば,MAS,STD,1001928
月に叢雲華に風,MAS,STD,982610
色は匂へど散りぬるを,MAS,STD,941673
Destiny Runner,MAS,DX,973189
Spring of Dreams,MAS,DX,979675
神々が恋した幻想郷,MAS,DX,955283
紅星ミゼラブル～廃憶編,MAS,DX,949264
エピクロスの虹はもう見えない,MAS,STD,992296
下克上々,MAS,DX,967018
隠然,MAS,STD,978145
みんなの,MAS,STD,1000150
幻想のサテライト,MAS,STD,977409
待チ人ハ来ズ。,MAS,STD,997579
響縁,MAS,STD,994652
囲い無き世は一期の月影,MAS,STD,952012
永遠のメロディ,MAS,STD,989329
taboo tears you up,MAS,DX,978456
White Traveling Girl,MAS,STD,996938
No Routine,MAS,STD,974054
Scream out! -maimai SONIC WASHER Edit-,MAS,DX,985999
Scream out! -maimai SONIC WASHER Edit-,MAS,STD,964399
不思議の国のクリスマス,MAS,STD,986841
Bad Apple!! feat.nomico,MAS,STD,965765
橙の幻想郷音頭,MAS,STD,982039
Starlight Dance Floor,MAS,STD,992556
ハウリング,MAS,DX,956247
"Endless, Sleepless Night",MAS,STD,984216
Yakumo >>JOINT STRUGGLE (2019 Update),MAS,DX,953647
